filepath,label,source
master_dataset/multi version/benign/benign_version_20_100047.png,benign,multi version
master_dataset/mendeley/malicious/qr_198_malicious_images.png,malicious,mendeley
master_dataset/multi version/malicious/malicious_version_40_416258.png,malicious,multi version
master_dataset/kaggle/benign/benign_63982.png,benign,kaggle
master_dataset/mendeley/malicious/qr_308_malicious_images.png,malicious,mendeley
master_dataset/mendeley/malicious/qr_364_malicious_images.png,malicious,mendeley
master_dataset/kaggle/benign/benign_24362.png,benign,kaggle
master_dataset/kaggle/benign/benign_44950.png,benign,kaggle
master_dataset/kaggle/malicious/malicious_406426.png,malicious,kaggle
master_dataset/kaggle/benign/benign_32498.png,benign,kaggle
master_dataset/kaggle/malicious/malicious_354361.png,malicious,kaggle
master_dataset/kaggle/malicious/malicious_337797.png,malicious,kaggle
master_dataset/multi version/benign/benign_version_30_100042.png,benign,multi version
master_dataset/mendeley/benign/qr_393_benign_images.png,benign,mendeley
master_dataset/mendeley/benign/qr_10_benign_images.png,benign,mendeley
master_dataset/mendeley/benign/qr_116_benign_images.png,benign,mendeley
master_dataset/mendeley/benign/qr_75_benign_images.png,benign,mendeley
master_dataset/multi version/benign/benign_version_30_100038.png,benign,multi version
master_dataset/multi version/malicious/malicious_version_10_416282.png,malicious,multi version
master_dataset/mendeley/benign/qr_409_benign_images.png,benign,mendeley
master_dataset/kaggle/malicious/malicious_363805.png,malicious,kaggle
master_dataset/mendeley/benign/qr_101_benign_images.png,benign,mendeley
master_dataset/kaggle/malicious/malicious_381993.png,malicious,kaggle
master_dataset/mendeley/malicious/qr_5_malicious_images.png,malicious,mendeley
master_dataset/kaggle/malicious/malicious_413785.png,malicious,kaggle
master_dataset/kaggle/benign/benign_89993.png,benign,kaggle
master_dataset/kaggle/malicious/malicious_349821.png,malicious,kaggle
master_dataset/mendeley/benign/qr_233_benign_images.png,benign,mendeley
master_dataset/mendeley/benign/qr_173_benign_images.png,benign,mendeley
master_dataset/multi version/benign/benign_version_40_100046.png,benign,multi version
master_dataset/kaggle/benign/benign_84276.png,benign,kaggle
master_dataset/kaggle/malicious/malicious_410796.png,malicious,kaggle
master_dataset/kaggle/benign/benign_22031.png,benign,kaggle
master_dataset/mendeley/malicious/qr_334_malicious_images.png,malicious,mendeley
master_dataset/multi version/malicious/malicious_version_10_416286.png,malicious,multi version
master_dataset/mendeley/malicious/qr_347_malicious_images.png,malicious,mendeley
master_dataset/kaggle/benign/benign_12071.png,benign,kaggle
master_dataset/kaggle/malicious/malicious_369937.png,malicious,kaggle
master_dataset/multi version/benign/benign_version_30_100035.png,benign,multi version
master_dataset/mendeley/benign/qr_181_benign_images.png,benign,mendeley
master_dataset/mendeley/malicious/qr_178_malicious_images.png,malicious,mendeley
master_dataset/mendeley/malicious/qr_181_malicious_images.png,malicious,mendeley
master_dataset/multi version/benign/benign_version_3_100024.png,benign,multi version
master_dataset/kaggle/benign/benign_96995.png,benign,kaggle
master_dataset/multi version/benign/benign_version_40_100042.png,benign,multi version
master_dataset/multi version/malicious/malicious_version_10_416298.png,malicious,multi version
